courseName	sourceName
DMZ 평화의 길 3-1코스(우회로)	가톨릭 교회 통진성당
DMZ 평화의 길 3-1코스(우회로)	대표적인 어장인 전류리포구
DMZ 평화의 길 31코스 	인제와 고성을 잇는 옛 고갯길인 진부령
DMZ 평화의 길 31코스 	아름다운 설경으로 유명한 백두대간 봉우리 마산봉
DMZ 평화의 길 31-1코스(우회로)	고성읍출장사무소 건물을 개조해 만든 진부령미술관
DMZ 평화의 길 32코스	팔려가는 소들이 주막 앞
DMZ 평화의 길 32코스	신라 법흥왕 시대
DMZ 평화의 길 32-1코스(우회로)	팔려가는 소들이 주막 앞
DMZ 평화의 길 32-1코스(우회로)	1930년부터 원상-양양간 동해북부선을 잇던 북천철교
DMZ 평화의 길 32-1코스(우회로)	어항 거진항
DMZ 평화의 길 33코스	신라 법흥왕 시대
DMZ 평화의 길 33코스	자연 호수 화진포
DMZ 평화의 길 33-1코스(우회로)	통일과 평화, 가족의 소중함을 담은 거진등대 해맞이공원
DMZ 평화의 길 34코스	금강산, 해금강을 관람하고 DMZ
DMZ 평화의 길 4코스	생태 탐방 시설을 갖춘 하동천 생태탐방로
DMZ 평화의 길 4-1코스(지선코스)	임진왜란 3대 대첩 중 하나인 행주대첩이 벌어졌던 행주산성
DMZ 평화의 길 5코스	한강과 임진강, 서해가 만나는 곳
DMZ 평화의 길 5코스	각종 철새가 겨울을 나는 한강하류 재두루미 도래지
DMZ 평화의 길 7코스	황희가 임진강 하류의 절경을 감상했다는 정자 반구정
DMZ 평화의 길 7코스	슬픔을 달랜 임진각관광지
DMZ 평화의 길 8코스 (예약노선)	생태수로와 습지관찰데크 등을 갖춘 임진각 수풀누리
DMZ 평화의 길 8코스 (예약노선)	해마루촌
DMZ 평화의 길 8-1코스(우회로)	임진각과 북한기념관, 각종 기념비 및 통일공원 등으로 이루어진 임진각국민관광지
DMZ 평화의 길 8-1코스(우회로)	임진강가 벼랑 위
DMZ 평화의 길 9코스 	조선시대 대표적인 명의 허준과 부인 안동김씨의 쌍분 무덤인 허준 묘
